S000002183,0.7,0.97,1.07,1.28,1.22,0.76,0.3,0.38
S000002185,0.43,0.9,1.37,0.72,1.26,0.9,1.03,0.72
S000002189,-0.86,-1.36,-1.64,-1.53,-1.4,-0.93,-0.54,-0.46
S000002196,-1.18,-1.6,-2.32,-1.89,-2.06,-1.32,0.41,-1.64
S000002197,-1.69,-1.56,-2.56,-2.32,-2.25,-1.12,0.45,-1.25
S000002204,0.58,1.2,1.62,1.6,1.74,1.4,0.92,0.45
S000002208,-0.14,-0.6,-0.97,-1.43,-0.89,-0.47,-0.3,-0.06
S000002209,-0.22,-0.56,-1.06,-1.6,-1.29,-0.76,-0.32,-0.15
S000002218,-0.62,-1.03,-0.94,-1.84,-1.22,-0.92,-0.76,-0.32
S000002221,-1.15,-2.0,-2.12,-2.25,-2.06,-0.43,-0.54,-0.86
S000002230,0.72,1.3,1.58,1.45,1.36,1.21,1.46,0.62
S000002233,0.34,0.26,-0.49,-1.18,-1.36,-1.0,-0.94,-0.58
S000002241,0.28,0.2,-0.64,-1.32,-1.09,-0.97,-0.67,-0.76
S000002268,1.17,2.44,2.86,2.37,2.36,1.97,1.54,0.93
S000002282,2.01,2.98,3.8,3.62,3.63,3.19,3.63,2.29
S000002283,0.52,1.12,1.18,1.05,1.1,1.12,1.84,0.86
S000002284,0.39,0.7,1.45,1.55,1.74,1.37,1.74,1.0
S000002287,-0.67,-1.74,-2.25,-1.32,-2.12,-1.74,-1.18,-0.92
S000002296,0.46,0.89,1.02,0.94,1.08,1.32,1.32,1.01
S000002307,-1.32,-2.18,-2.74,-3.06,-1.94,-1.79,-1.32,-0.69
S000002309,-0.74,-1.15,-1.56,-1.51,-1.03,-0.86,-0.6,-0.42
S000002310,-1.09,-1.32,-1.64,-1.47,-1.25,-1.0,-0.62,-0.58
S000002311,-1.06,-1.6,-1.94,-2.12,-1.64,-1.51,-1.06,-0.64
S000002312,-1.36,-1.84,-2.94,-2.94,-2.32,-1.64,-1.12,-0.62
S000002326,-0.92,-1.64,-2.25,-2.0,-1.29,-0.81,-0.49,-0.29
S000002328,-0.01,0.69,1.6,1.58,1.6,1.56,1.56,0.23
S000002339,0.94,1.28,1.01,0.89,0.83,0.59,-0.04,0.22
S000002340,0.65,1.59,1.41,0.95,0.67,0.53,0.04,-0.2
S000002358,0.24,0.78,1.14,1.31,0.95,0.56,0.3,0.31
S000002360,-0.54,-1.06,-1.43,-1.18,-1.09,-0.67,-0.45,-0.29
S000002363,0.52,2.39,3.77,4.29,3.56,2.5,1.42,0.63
S000002381,0.2,0.96,3.11,1.86,3.62,2.32,2.22,0.95
S000002393,0.38,0.62,1.23,0.53,0.97,0.7,1.41,0.8
S000002402,1.01,0.99,2.52,1.32,1.38,1.05,1.64,2.42
S000002408,0.4,1.49,2.01,2.1,2.11,1.38,1.12,0.62
S000002410,1.15,1.61,1.36,1.43,1.34,1.1,0.86,0.66
S000002428,-0.92,-1.51,-1.64,-1.51,-1.56,-0.92,-1.03,-0.54
S000002430,-0.01,-0.07,-0.69,-1.51,-1.15,-0.89,-0.6,-0.43
S000002432,0.34,0.19,-0.64,-1.74,-1.25,-0.94,-0.74,-0.69
S000002438,0.36,1.09,1.28,1.4,1.56,0.54,0.93,0.59
S000002439,0.83,1.84,2.4,2.83,2.8,3.04,2.83,1.8
S000002444,0.1,-0.38,-1.09,-1.56,-1.29,-0.86,-0.2,-0.32
S000002450,0.53,1.28,1.36,1.53,1.6,0.9,0.28,0.64
S000002462,0.19,0.43,0.74,1.64,1.88,1.87,2.36,0.14
S000002466,0.46,1.28,1.44,1.87,1.77,1.73,1.7,0.7
S000002467,-0.85,-1.43,-1.53,-1.27,-1.7,-1.27,-0.96,-0.58
S000002477,0.35,1.09,2.39,2.48,2.78,2.26,1.57,0.53
S000002481,1.89,2.42,3.38,2.72,2.51,1.28,0.8,0.81
S000002484,0.53,0.78,1.16,2.02,2.27,2.25,2.26,1.3
S000002490,-0.89,-1.6,-2.47,-2.47,-1.84,-1.18,-0.79,-0.4
S000002492,0.39,1.28,2.09,2.39,2.16,1.61,1.52,0.25
S000002494,-0.81,-1.56,-2.25,-2.25,-1.03,-0.89,-0.42,-0.09
S000002498,-0.45,-1.15,-1.84,-1.79,-1.32,-0.89,-0.67,-0.56
S000002499,0.38,0.79,1.07,0.96,1.08,1.09,1.29,0.7
S000002503,1.1,1.39,1.79,1.49,1.13,0.46,0.04,0.07
S000002504,-0.79,-0.89,-1.0,-1.29,-1.03,-0.69,-0.81,-0.3
S000002508,-0.94,-1.74,-2.56,-2.12,-1.74,-1.29,-0.49,-0.32
S000002518,-0.29,-0.84,-1.25,-1.43,-1.18,-1.29,-0.76,-0.71
S000002526,-0.36,-0.89,-1.32,-1.25,-1.0,-1.0,-1.09,-0.76
S000002527,-0.54,-1.47,-2.25,-1.94,-1.6,-1.29,-0.97,-0.3
S000002539,1.1,1.35,0.86,0.83,0.96,1.0,0.69,-0.92
S000002540,0.99,1.38,1.34,1.14,0.74,0.29,-0.49,-0.12
S000002551,-0.07,-0.71,-1.12,-1.51,-1.4,-1.22,-1.69,-0.76
S000002553,-0.32,-0.4,-0.07,-0.2,-0.15,-0.62,-1.43,-0.29
S000002561,0.92,1.48,1.37,1.6,1.6,1.66,1.7,1.34
S000002562,0.7,1.1,0.95,1.43,1.6,1.53,1.71,1.18
S000002568,-0.54,-1.29,-1.74,-2.12,-1.69,-1.03,-0.54,-0.3
S000002572,-0.42,-1.03,-1.94,-1.69,-1.29,-0.94,-0.38,-0.27
S000002578,2.85,4.55,5.02,3.67,3.64,3.18,2.96,2.31
S000002585,0.87,1.54,1.42,1.19,0.98,0.45,0.48,0.23
S000002592,-0.6,-1.22,-2.0,-1.47,-1.22,-0.79,-0.12,-0.32
S000002612,0.56,1.01,1.61,1.51,1.21,1.21,1.4,0.7
S000002622,1.14,2.05,2.32,2.03,1.54,1.7,1.86,1.77
S000002638,1.18,1.88,1.85,1.74,1.32,1.38,1.59,1.04
S000002639,1.18,1.94,1.93,1.92,1.33,1.75,1.33,1.11
S000002642,-0.03,-1.18,-1.94,-1.79,-1.84,-1.36,-0.89,-0.4
S000002655,0.52,0.79,1.15,1.13,0.87,0.38,1.37,0.15
S000002656,0.97,1.79,2.07,2.12,2.0,1.9,1.76,1.27
S000002666,1.33,2.06,1.76,1.5,1.33,1.12,1.21,1.26
S000002682,-0.76,-0.7,-1.44,-0.56,-1.05,-0.62,-0.44,-0.06
S000002685,1.53,1.73,2.01,1.09,0.48,-0.36,-1.0,-1.0
S000002689,-0.42,-1.15,-1.79,-1.56,-0.74,0.0,-0.25,-0.42
S000002707,-1.32,-2.06,-2.94,-2.56,-1.74,-1.32,-1.15,-0.47
S000002708,-0.12,-0.84,-1.74,-1.51,-1.36,-0.89,-0.42,-0.29
S000002720,-1.12,-1.89,-2.06,-2.06,-1.43,-1.0,-0.84,-0.43
S000002722,-0.47,-0.45,-0.29,-0.15,-1.29,-0.54,-0.79,-0.51
S000002729,-0.12,-0.43,-1.32,-1.74,-1.56,-1.15,-0.64,-0.27
S000002732,-0.89,-1.74,-1.84,-2.12,-1.47,-1.15,-0.86,-0.58
S000002749,-0.1,-0.56,-1.36,-1.74,-1.43,-1.25,-0.64,-0.38
S000002750,1.84,2.51,2.81,2.66,1.74,0.9,0.36,0.1
S000002751,1.77,2.4,2.66,2.67,1.81,1.05,0.22,0.12
S000002761,1.71,2.17,2.1,1.82,1.8,1.43,1.34,0.54
S000002766,0.58,0.93,1.59,1.23,1.15,0.53,0.32,0.14
S000002769,-0.58,-1.09,-2.12,-2.18,-1.84,-1.12,-0.49,-0.3
S000002773,-1.03,-1.29,-2.0,-1.94,-1.09,-0.67,-0.18,0.19
S000002776,0.73,1.25,1.49,1.41,1.63,1.42,1.43,1.03
S000002788,0.61,1.93,3.46,3.61,2.86,2.14,1.36,0.19
S000002792,0.06,-1.06,-1.56,-1.15,-0.92,-1.09,-1.12,-1.0
S000002799,0.5,1.22,1.77,1.5,1.55,1.28,1.94,0.79
S000002802,0.43,0.9,1.24,1.15,1.29,1.1,1.38,0.67
S000002803,-0.38,-1.15,-1.51,-1.47,-0.94,-0.86,-0.47,-0.17
S000002806,-1.03,-2.0,-2.56,-1.74,-1.36,-0.76,-0.1,-0.18
S000002807,-0.42,-1.69,-2.94,-2.74,-2.12,-1.43,-0.84,-0.97
S000002808,-0.14,-0.51,-0.3,-0.04,0.34,0.93,1.36,0.98
S000002810,-0.3,-0.47,-0.06,0.19,1.85,-0.1,0.16,0.11
S000002820,-0.51,-0.97,-1.43,-1.29,-1.0,-0.81,-0.36,-0.2
S000002821,-0.71,-1.03,-1.69,-1.47,-1.22,-0.89,-0.49,-0.29
S000002854,-0.27,-0.29,-0.84,-0.47,-1.43,-1.09,-0.86,-0.84
S000002855,0.08,-0.15,-0.81,-1.47,-1.56,-1.18,-0.86,-0.6
S000002857,-1.18,-1.79,-1.89,-2.12,-1.6,-1.25,-0.97,-0.51
S000002861,0.69,1.73,3.03,3.46,3.66,3.62,3.28,1.64
S000002870,0.58,1.04,1.44,1.0,1.17,0.91,0.48,-0.15
S000002873,-0.54,-1.15,-2.47,-2.74,-2.06,-1.12,-0.25,-0.32
S000002884,0.48,0.7,0.84,1.04,0.96,1.18,1.39,0.86
S000002899,-1.09,-1.89,-2.32,-2.06,-1.69,-1.29,-0.42,-0.23
S000002900,-1.0,-1.94,-2.84,-2.12,-1.94,-1.43,-0.38,-0.27
S000002904,-1.42,-2.49,-3.25,-2.77,-2.22,-1.78,-0.93,-0.64
S000002919,0.4,1.14,1.07,1.34,1.44,1.15,0.7,0.33
S000002921,1.73,2.7,2.77,2.64,2.48,1.95,1.46,0.73
S000002927,0.18,0.33,0.21,0.56,1.05,1.23,1.61,1.26
S000002931,-1.0,-1.47,-1.0,-0.81,-1.09,-1.03,-0.42,-0.86
S000002941,2.71,4.11,4.56,4.98,5.24,5.23,5.06,4.12
S000000737,1.76,2.66,3.8,3.79,3.1,1.65,0.38,0.37
S000000738,0.55,1.67,1.75,1.32,1.26,1.01,0.51,0.43
S000000752,0.28,-0.32,-1.25,-1.69,-1.09,-0.67,-0.03,-0.09
S000000765,0.78,1.6,1.9,1.53,1.02,0.52,-0.45,-0.76
S000000766,-0.12,-0.74,-1.22,-1.47,-1.47,-1.56,-1.84,-1.4
S000000767,0.7,2.4,2.57,2.77,2.81,2.2,1.29,0.62
S000000774,-0.43,-0.74,-0.86,-1.32,-0.62,-0.64,-0.56,-0.09
S000000781,-0.48,-0.9,-1.13,-1.36,-1.18,-0.92,-0.76,-0.47
S000002954,0.32,0.57,1.11,0.7,0.41,1.72,1.89,0.62
S000000786,1.15,1.7,2.4,2.65,2.91,2.48,2.52,1.63
S000000806,0.3,0.65,0.95,1.35,1.49,1.44,1.45,0.89
S000000808,-0.62,-1.79,-2.4,-2.74,-2.32,-1.51,-0.74,-0.43
S000000814,0.49,1.1,1.33,1.14,1.17,1.2,1.23,0.48
S000000822,0.58,0.87,1.27,1.06,1.03,0.7,1.25,0.46
S000000828,0.33,0.86,1.28,1.57,1.68,1.33,0.76,0.66
S000000837,0.9,1.66,1.61,1.34,1.52,1.42,1.51,0.94
S000000839,0.14,1.54,2.01,2.32,2.6,2.54,2.94,0.91
S000000840,0.18,0.9,1.27,1.3,1.6,1.59,1.74,0.77
S000000844,0.73,1.06,1.38,1.11,0.42,0.78,0.96,0.55
S000000846,0.52,1.42,1.45,1.41,1.16,0.82,0.53,-0.09
S000000851,-0.34,-1.29,-2.0,-1.84,-1.15,-0.81,-0.01,0.12
S000000855,1.44,2.43,2.89,2.34,1.91,1.09,2.13,0.41
S000000856,0.41,1.31,3.49,0.03,1.97,0.38,0.22,0.12
S000000857,0.31,-0.4,-1.06,-1.56,-1.09,-1.12,-0.74,-0.89
S000000858,-0.54,-1.64,-2.4,-1.56,-0.89,-0.64,-0.15,-0.32
S000000860,0.3,0.8,1.67,1.2,0.82,0.6,0.08,-0.32
S000002958,-0.1,-1.56,-0.83,-0.78,-0.75,-0.45,-0.14,-0.49
S000000864,0.2,0.16,0.48,0.75,1.17,1.35,2.36,0.98
S000000869,2.29,3.91,3.8,3.14,2.27,1.76,2.0,0.44
S000000872,-0.29,-1.12,-1.51,-1.47,-0.74,-0.29,-0.86,-0.51
S000000881,0.95,1.76,2.09,2.07,2.07,1.56,1.59,0.86
S000000884,-0.71,-1.56,-2.0,-1.69,-1.22,-0.86,-0.4,-0.22
S000000904,0.45,0.29,-0.56,-1.22,-1.32,-1.12,-0.79,-0.4
S000000905,0.98,2.28,3.0,2.26,2.04,1.7,2.44,2.08
S000000912,-0.69,-2.12,-3.32,-4.06,-3.06,-2.18,-1.4,-0.4
S000000921,0.46,0.85,1.41,1.53,1.63,1.28,0.82,0.54
S000000928,-0.81,-1.47,-2.47,-2.32,-1.69,-0.74,-0.17,-0.23
S000000929,-1.09,-1.43,-1.74,-1.18,-1.09,-0.67,-0.47,-0.12
S000000932,-0.58,-0.58,-0.97,-1.0,-0.62,-0.17,1.44,0.0
S000000943,0.59,1.08,1.29,1.26,1.1,0.89,0.64,0.41
S000000944,0.44,1.75,2.02,2.11,2.0,1.65,1.48,0.9
S000000945,0.82,1.52,2.02,1.39,1.49,1.66,1.85,0.96
S000000947,0.29,-0.36,-1.25,-1.29,-0.62,-0.32,-0.45,0.12
S000000952,0.34,1.88,2.84,3.48,3.5,3.13,3.63,1.78
S000000960,-0.03,0.15,0.3,0.75,0.85,1.01,2.35,0.85
S000000965,0.42,1.1,1.53,1.7,0.97,1.44,1.15,0.57
S000000979,0.48,0.87,1.08,1.1,1.35,1.0,1.27,0.64
S000001894,-0.94,-1.43,-1.79,-1.6,-1.29,-0.86,-0.58,-0.4
S000001880,1.1,4.1,6.45,6.2,6.68,6.6,6.2,4.33
S000001878,1.04,1.85,2.22,1.19,1.73,1.36,1.04,1.24
S000001875,-0.04,0.16,0.36,-0.03,-0.6,-0.2,-0.8,-1.29
S000001871,-1.43,-1.6,-1.94,-1.56,-1.09,-0.89,-0.58,-0.14
S000001850,0.16,0.53,1.08,1.26,1.0,1.28,1.55,0.96
S000001838,1.18,2.04,2.78,3.2,3.53,3.94,3.66,2.96
S000001837,0.48,1.16,1.55,1.96,2.21,2.4,2.13,1.38
S000001835,-0.15,0.24,0.23,0.6,0.84,1.26,1.46,1.28
S000001897,-0.69,-1.32,-1.84,-1.6,-1.43,-1.15,-0.94,-0.51
S000001899,0.33,1.31,1.51,1.53,1.42,1.21,0.93,0.52
S000001911,4.61,3.05,3.11,2.32,1.4,0.16,-0.84,-0.4
S000001913,1.08,2.36,2.48,0.21,1.93,0.77,1.12,0.11
S000002968,0.29,0.8,1.07,1.28,1.4,1.01,1.18,0.66
S000001938,0.46,1.21,1.43,1.28,1.36,1.39,1.14,0.84
S000001943,0.2,0.6,0.96,1.24,1.48,1.36,1.46,0.94
S000001945,0.5,1.22,1.44,1.16,1.15,0.71,0.51,0.11
S000001946,0.48,1.12,1.32,1.2,1.33,1.18,1.45,0.61
S000001948,0.59,1.14,1.41,1.3,1.49,1.21,1.39,0.71
S000001949,2.17,3.56,4.44,3.64,2.87,1.42,1.06,0.41
S000001953,0.38,-0.4,0.32,0.01,-0.34,-0.26,0.15,-1.36
S000002976,0.15,-0.74,-1.15,-1.32,-1.06,-0.76,-0.2,0.0
S000002978,0.54,0.98,1.61,1.75,0.96,1.04,0.82,0.69
S000002997,-1.18,-2.18,-2.94,-2.56,-2.06,-1.51,-0.79,-0.54
S000002999,0.36,0.38,-0.4,-1.18,-1.4,-1.06,-0.89,-0.54
S000003005,1.83,3.23,3.69,3.44,3.14,2.27,2.06,1.01
S000003014,0.03,0.29,0.77,0.86,0.38,0.41,1.42,0.62
S000003015,0.51,1.91,2.28,2.38,2.21,1.79,1.36,0.56
S000003016,0.41,1.04,1.4,1.42,1.32,1.27,1.34,0.71
S000003023,-0.81,-2.32,-3.47,-3.06,-2.4,-1.6,0.61,0.66
S000003044,0.51,0.24,-0.76,-1.29,-1.32,-1.06,-0.84,-0.47
S000003046,-0.86,-1.94,-2.84,-2.4,-1.89,-1.36,-0.6,-0.32
S000003064,1.45,1.65,2.32,1.38,1.24,1.23,1.6,0.71
S000003067,-0.69,-1.36,-1.69,-1.74,-1.29,-0.94,-0.67,-0.23
S000003079,-0.76,-1.06,-1.84,-1.6,-1.25,-0.81,-0.45,-0.27
S000003088,-0.58,-1.43,-2.18,-1.79,-1.29,-0.81,0.08,0.08
S000003089,0.12,0.78,1.54,2.51,2.78,3.04,3.01,1.24
S000003095,0.28,0.45,0.81,0.76,1.13,0.96,1.28,0.85
S000003103,0.24,0.29,-0.71,-1.25,-1.43,-1.15,-0.81,-0.49
S000003115,0.51,0.43,-0.34,-1.15,-1.51,-1.15,-0.71,-0.34
S000003124,-0.06,-0.27,0.5,1.62,1.81,1.46,1.52,1.37
S000003125,0.5,0.66,0.68,0.99,1.12,0.93,1.34,0.79
S000003137,-0.71,-1.43,-1.74,-1.56,-1.06,-0.67,-0.2,-0.01
S000003138,-0.94,-1.6,-1.43,-0.84,-1.69,-1.25,-1.0,-0.76
S000003139,-1.25,-2.56,-3.32,-3.32,-2.56,-1.64,-1.15,-0.74
S000003147,-0.18,0.07,0.56,0.53,0.9,0.86,2.24,1.1
S000003148,0.41,0.88,1.47,1.21,1.35,0.71,0.88,0.25
S000003152,0.97,0.84,1.69,1.03,1.7,0.98,0.99,0.03
S000003177,0.13,-0.66,-0.73,-1.03,-0.81,-1.65,-1.63,-1.19
S000003203,-0.17,-1.22,-2.25,-2.0,-1.51,-1.32,-0.94,-0.47
S000003224,-0.92,-1.47,-1.89,-1.6,-1.64,-1.51,-0.89,-0.64
S000003240,1.37,2.72,2.74,3.19,2.54,2.48,2.29,1.35
S000003251,0.75,1.49,2.32,2.15,2.61,2.12,2.37,1.13
S000003253,0.24,0.8,1.34,0.87,1.08,0.85,0.64,0.04
S000003260,-0.15,0.51,1.04,1.19,1.42,1.29,1.51,1.14
S000003267,0.96,-0.07,-0.3,-0.58,-0.74,-1.36,-1.6,-1.18
S000003269,0.69,0.95,1.02,1.03,1.01,1.1,1.44,1.04
S000003275,0.1,0.91,2.68,3.86,3.34,3.93,3.74,1.96
S000003276,0.33,1.08,1.29,1.48,1.64,0.85,1.34,0.62
S000003284,0.74,1.45,2.31,2.22,2.07,1.48,1.21,0.73
S000003293,-0.16,-1.15,-1.29,-1.74,-1.51,-1.43,-1.3,-1.02
S000003320,1.5,3.25,4.36,4.57,4.38,3.01,1.74,0.75
